2024-12-09 08:38:26 - TICKET ADDED BY THE VENDOR: Ticket ID 1, Thread: Vendor - 1, Pool Size: 1
2024-12-09 08:38:26 - TICKET ADDED BY THE VENDOR: Ticket ID 1, Thread: Vendor - 9, Pool Size: 2
2024-12-09 08:38:26 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 1, Thread: Customer - 9, Pool Size: 1
2024-12-09 08:38:26 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 1, Thread: Customer - 8, Pool Size: 0
2024-12-09 08:38:26 - TICKET ADDED BY THE VENDOR: Ticket ID 1, Thread: Vendor - 4, Pool Size: 1
2024-12-09 08:38:26 - TICKET ADDED BY THE VENDOR: Ticket ID 1, Thread: Vendor - 5, Pool Size: 2
2024-12-09 08:38:26 - TICKET ADDED BY THE VENDOR: Ticket ID 1, Thread: Vendor - 6, Pool Size: 3
2024-12-09 08:38:26 - TICKET ADDED BY THE VENDOR: Ticket ID 1, Thread: Vendor - 3, Pool Size: 4
2024-12-09 08:38:26 - TICKET ADDED BY THE VENDOR: Ticket ID 1, Thread: Vendor - 7, Pool Size: 5
2024-12-09 08:38:26 - TICKET ADDED BY THE VENDOR: Ticket ID 1, Thread: Vendor - 10, Pool Size: 6
2024-12-09 08:38:26 - TICKET ADDED BY THE VENDOR: Ticket ID 1, Thread: Vendor - 8, Pool Size: 7
2024-12-09 08:38:26 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 1, Thread: Customer - 2, Pool Size: 6
2024-12-09 08:38:26 - TICKET ADDED BY THE VENDOR: Ticket ID 1, Thread: Vendor - 2, Pool Size: 7
2024-12-09 08:38:26 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 1, Thread: Customer - 7, Pool Size: 6
2024-12-09 08:38:26 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 1, Thread: Customer - 10, Pool Size: 5
2024-12-09 08:38:26 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 1, Thread: Customer - 3, Pool Size: 4
2024-12-09 08:38:26 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 1, Thread: Customer - 5, Pool Size: 3
2024-12-09 08:38:26 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 1, Thread: Customer - 4, Pool Size: 2
2024-12-09 08:38:26 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 1, Thread: Customer - 6, Pool Size: 1
2024-12-09 08:38:26 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 1, Thread: Customer - 1, Pool Size: 0
2024-12-09 08:38:33 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Vendor - 1, Pool Size: 1
